"8089";"1";"215";"15.400000000";"2019-08-12 21:43:57"
"8091";"2";"215";"90.000000000";"2019-08-12 21:51:09"
"8092";"1";"215";"15.300000000";"2019-08-12 21:51:57"
"8095";"1";"215";"15.200000000";"2019-08-12 21:59:09"
"8096";"2";"215";"91.000000000";"2019-08-12 22:00:45"
"8099";"1";"215";"15.100000000";"2019-08-12 22:05:33"
"8101";"1";"215";"15.000000000";"2019-08-12 22:11:57"
"8102";"2";"215";"92.000000000";"2019-08-12 22:11:57"
"8104";"1";"215";"14.900000000";"2019-08-12 22:12:45"
"8105";"2";"215";"93.000000000";"2019-08-12 22:14:21"
"8107";"1";"215";"14.800000000";"2019-08-12 22:23:57"
"8110";"2";"215";"94.000000000";"2019-08-12 22:31:57"
"8118";"1";"215";"14.700000000";"2019-08-12 22:54:21"
"8119";"1";"215";"14.600000000";"2019-08-12 22:56:45"
"8120";"2";"215";"95.000000000";"2019-08-12 22:56:45"
"8123";"1";"215";"14.500000000";"2019-08-12 23:14:21"
"8127";"1";"215";"14.400000000";"2019-08-12 23:21:33"
"8130";"1";"215";"14.300000000";"2019-08-12 23:27:57"
"8131";"2";"215";"96.000000000";"2019-08-12 23:27:57"
"8143";"1";"215";"14.200000000";"2019-08-12 23:32:45"
"8157";"1";"215";"14.100000000";"2019-08-12 23:41:33"
"8163";"2";"215";"97.000000000";"2019-08-12 23:48:45"
"8171";"2";"215";"98.000000000";"2019-08-13 00:11:57"
"8176";"1";"215";"14.000000000";"2019-08-13 00:23:09"
"8177";"1";"215";"13.900000000";"2019-08-13 00:25:33"
"8182";"1";"215";"13.800000000";"2019-08-13 00:31:09"
"8186";"1";"215";"13.700000000";"2019-08-13 00:36:45"
"8190";"1";"215";"13.600000000";"2019-08-13 00:43:57"
"8192";"1";"215";"13.500000000";"2019-08-13 00:49:33"
"8195";"1";"215";"13.400000000";"2019-08-13 00:53:33"
"8201";"1";"215";"13.300000000";"2019-08-13 01:00:45"
"8205";"1";"215";"13.400000000";"2019-08-13 01:03:09"
"8206";"2";"215";"99.000000000";"2019-08-13 01:04:45"
"8207";"1";"215";"13.300000000";"2019-08-13 01:07:09"
"8211";"1";"215";"13.200000000";"2019-08-13 01:15:09"
"8218";"1";"215";"13.100000000";"2019-08-13 01:25:33"
"8221";"1";"215";"12.900000000";"2019-08-13 01:35:08"
"8224";"1";"215";"12.800000000";"2019-08-13 01:42:20"
"8233";"1";"215";"12.700000000";"2019-08-13 01:58:20"
"8237";"1";"215";"12.600000000";"2019-08-13 02:05:32"
"8244";"1";"215";"12.500000000";"2019-08-13 02:15:56"
"8246";"1";"215";"12.400000000";"2019-08-13 02:22:20"
"8253";"1";"215";"12.300000000";"2019-08-13 02:39:08"
"8258";"1";"215";"12.200000000";"2019-08-13 02:59:56"
"8265";"1";"215";"12.100000000";"2019-08-13 03:11:08"
"8268";"1";"215";"12.000000000";"2019-08-13 03:20:44"
"8271";"1";"215";"11.900000000";"2019-08-13 03:28:44"
"8275";"1";"215";"11.800000000";"2019-08-13 03:36:44"
"8279";"1";"215";"11.700000000";"2019-08-13 03:44:44"
"8282";"1";"215";"11.600000000";"2019-08-13 03:55:08"
"8290";"1";"215";"11.500000000";"2019-08-13 04:08:44"
"8292";"1";"215";"11.400000000";"2019-08-13 04:13:32"
"8300";"1";"215";"11.500000000";"2019-08-13 04:38:20"
"8302";"1";"215";"11.600000000";"2019-08-13 04:41:32"
"8309";"1";"215";"11.700000000";"2019-08-13 04:52:44"
"8310";"1";"215";"11.600000000";"2019-08-13 04:56:44"
"8317";"1";"215";"11.500000000";"2019-08-13 05:11:56"
"8318";"1";"215";"11.600000000";"2019-08-13 05:16:44"
"8319";"1";"215";"11.500000000";"2019-08-13 05:17:32"
"8320";"1";"215";"11.600000000";"2019-08-13 05:18:20"
"8322";"1";"215";"11.500000000";"2019-08-13 05:26:20"
"8329";"1";"215";"11.600000000";"2019-08-13 05:59:56"
"8332";"1";"215";"11.700000000";"2019-08-13 06:07:08"
"8334";"1";"215";"11.800000000";"2019-08-13 06:16:44"
"8337";"1";"215";"11.900000000";"2019-08-13 06:23:56"
"8339";"1";"215";"12.000000000";"2019-08-13 06:31:08"
"8340";"1";"215";"12.100000000";"2019-08-13 06:34:20"
"8342";"1";"215";"12.200000000";"2019-08-13 06:40:44"
"8346";"1";"215";"12.300000000";"2019-08-13 06:47:56"
"8351";"1";"215";"12.400000000";"2019-08-13 07:05:32"
"8353";"1";"215";"12.500000000";"2019-08-13 07:15:08"
"8354";"1";"215";"12.400000000";"2019-08-13 07:15:56"
"8355";"1";"215";"12.500000000";"2019-08-13 07:18:20"
"8356";"1";"215";"12.600000000";"2019-08-13 07:21:32"
"8358";"1";"215";"12.700000000";"2019-08-13 07:28:44"
"8360";"1";"215";"12.800000000";"2019-08-13 07:34:20"
"8363";"1";"215";"12.900000000";"2019-08-13 07:41:32"
"8367";"1";"215";"13.100000000";"2019-08-13 07:50:20"
"8369";"1";"215";"13.200000000";"2019-08-13 07:55:08"
"8371";"1";"215";"13.300000000";"2019-08-13 07:58:20"
"8373";"1";"215";"13.400000000";"2019-08-13 08:00:44"
"8375";"1";"215";"13.500000000";"2019-08-13 08:03:08"
"8376";"1";"215";"13.600000000";"2019-08-13 08:03:56"
"8378";"1";"215";"13.700000000";"2019-08-13 08:06:20"
"8380";"1";"215";"13.800000000";"2019-08-13 08:08:44"
"8382";"1";"215";"13.900000000";"2019-08-13 08:11:08"
"8384";"1";"215";"14.000000000";"2019-08-13 08:13:32"
"8386";"1";"215";"14.100000000";"2019-08-13 08:14:20"
"8388";"1";"215";"14.200000000";"2019-08-13 08:15:56"
"8390";"1";"215";"14.300000000";"2019-08-13 08:18:20"
"8392";"1";"215";"14.400000000";"2019-08-13 08:21:32"
"8395";"1";"215";"14.500000000";"2019-08-13 08:26:20"
"8397";"1";"215";"14.600000000";"2019-08-13 08:31:56"
"8403";"1";"215";"14.700000000";"2019-08-13 08:44:44"
"8405";"2";"215";"98.000000000";"2019-08-13 08:46:20"
"8407";"2";"215";"97.000000000";"2019-08-13 08:51:08"
"8410";"2";"215";"96.000000000";"2019-08-13 08:55:56"
"8412";"1";"215";"14.800000000";"2019-08-13 08:58:20"
